Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
1983,"El Saadawi, Nawal",Woman at point zero,978-0-86232-110-9,https://www.goodreads.com/book/show/159604.Woman_at_Point_Zero?ac=1&from_search=true&qid=firhPney4u&rank=1,"From her prison cell, Firdaus, sentenced to die for having killed a pimp in a Cairo street, tells of her life from village childhood to city prostitute. Society's retribution for her act of defiance - death - she welcomes as the only way she can finally be free.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312039540l/159604.jpg,1983,2/14/2022 3:51,106,,,Zed Books,UK - London,,engara,Library of Congress ISBN,PJ7862.A3 W6 1983,,,,,,,,Nawal El Saadawi is the most translated Arab woman.,,women's rights,prostitution,Female Genital Mutilation,Islam and Women,Rebellion and Escape,Egypt,Patriarchy,Gender Roles,Sexuality
1987,"Djebar, Assia",A sister to Scheherazade,978-0-435-08622-0,https://www.goodreads.com/book/show/937191.A_Sister_to_Scheherazade,"Isma and Hajila are both wives of the same man, but they are not rivals. Ismaolder, vibrant, passionate, emancipatedis in stark contrast to the passive, cloistered Hajila. In alternating chapters, Isma tells her own story in the first person, and then Hajila's in the second person. She details how she escaped from the traditional restraints imposed upon the women of her countryand how, in making her escape, she condemns Hajila to those very restraints. When Hajila catches a glimpse of an unveiled woman, she realized that she, too, wants a life beyond the veil, and it is Isma who offers her the key to her own freedom.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179616927l/937191.jpg,1987,2/23/2022 17:58,159,,,Heinemann,"US - Portsmouth, NH",,eng,Library of Congress ISBN,PQ3989.2.D57 O413 1987,,,Women; Fiction; Algeria; Historical fiction,,,"S. Blair, Dorothy",,Assia Djebar's books are actually written in French but I have chosen to include them in this database because they are important pieces to looking at books written by women from North Africa.,"She is one of the ""immortels"" of the academie francaise.",polygamy,veil,Islam and Women,Rebellion and Escape,,Algeria,Patriarchy,Gender Roles,
1988,"Tuqan, Fadwa",Daily Nightmares,978-0-533-07515-7,https://www.goodreads.com/book/show/6503756-daily-nightmares,"A collection of poems by Fadwa Tuqan where she beautifully talks about Palestinian lives before the Israeli occupation, the horrors of the occupation and the Palestinian resistance.",,,1988,2/25/2022 14:04,,,,Vantage Press,,,English,Open WorldCat,,OCLC: 1136003974,,,,,"Salah, Yusra A",,This book is one of only two books translated by Fadwa Tuqan.,,,,,,,,,,
1989,"Abouzeid, Leila","Year of the elephant: a Moroccan woman's journey toward independence, and other stories",978-0-292-79603-4,https://www.goodreads.com/book/show/245256.Year_of_the_Elephant,"Offering a fictional treatment to a Muslim woman's life, here, a personal and family crisis impells the heroine to reexamine traditional cultural attitudes toward women. Both obstacles and support systems change as she actively participates in the struggle for Moroccan independence from France.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387703370l/245256.jpg,1989,2/23/2022 4:18,103,Year of the elephant,Modern Middle East literature in translation series,Center for Middle Eastern Studies at the University of Texas,"US - Austin, Texas",,eng,Library of Congress ISBN,PJ7808.Z22 A513 1989,,,Fiction; Social life and customs; Middle East,,,"Fernea, Elizabeth Warnock",,This book has gone through 6 reprints.,,Islam and Women,Colonization,Independence,Resistance,Tradition,Morocco,Patriarchy,,
1989,"Djebar, Assia",Fantasia: an Algerian cavalcade,978-0-7043-2610-1,https://www.goodreads.com/book/show/74700.Fantasia,"In this stunning novel, Assia Djebar intertwines the history of her native Algeria with episodes from the life of a young girl in a story stretching from the French conquest in 1830 to the War of Liberation of the 1950s. The girl, growing up in the old Roman coastal town of Cherchel, sees her life in contrast to that of a neighboring French family, and yearns for more than law and tradition allow her to experience. Headstrong and passionate, she escapes from the cloistered life of her family to join her brother in the maquis' fight against French domination. Djebar's exceptional descriptive powers bring to life the experiences of girls and women caught up in the dual struggle for independence--both their own and Algeria's.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589559997l/74700.jpg,1989,2/23/2022 17:59,227,Fantasia,,Quartet Books,UK - London,,eng,K10plus ISBN,,,,,,,"Blair, Dorothy S.",,,,Algerian War,Colonization,Resistance,Island and Women,Rebellion and Escape,Algeria,Patriarchy,,
1989,"El Saadawi, Nawal",The circling song,978-0-86232-816-0 978-0-86232-817-7,https://www.goodreads.com/book/show/2023853.The_Circling_Song?ac=1&from_search=true&qid=qAputLEOhj&rank=3,,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266470647l/2023853.jpg,1989,2/14/2022 3:46,88,,,Zed Books,UK - London,"US - Atlantic Highlands, N.J",eng,Library of Congress ISBN,PJ7862.A3 U3813 1989,,,Fiction; Egypt; Twins,,,,,,,,,,,,,,,
1989,"El Saadawi, Nawal",Memoirs of a woman doctor,978-0-87286-223-4,https://www.goodreads.com/book/show/817660.Memoirs_of_a_Woman_Doctor?from_search=true&from_srp=true&qid=EoUWt7eK9j&rank=1,"Rebelling against the constraints of family and society, a young Egyptian woman decides to study medicine, becoming the only woman in a class of men. Her encounters with the other students--as well as the male and female corpses in the autopsy room--intensify her dissatisfaction with and her search for identity. She realizes men are not gods as her mother had taught her, that science cannot explain everything, and that she cannot be satisfied by living a life purely of the mind. After a brief and unhappy marriage, she throws herself into her work, becoming a successful physician, but at the same time, she becomes aware of injustice and hypocrisy in society. Fulfillment and love come to her at last in a wholly unexpected way.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328774792l/817660.jpg,1989,2/14/2022 3:50,101,,,City Lights Books,US - San Francisco,,eng,Library of Congress ISBN,PJ7862.A3 M813 1989,,,,,,,,,,Family,Islam and Women,Search for Identity,Rebellion and Escape,,Egypt,Patriarchy,,
1989,"Mernissi, Fatima",Doing daily battle: interviews with Moroccan women,978-0-8135-1418-5 978-0-8135-1417-8,,,,,1989,3/25/2022 3:49,224,Doing daily battle,,Rutgers University Press,"US - New Brunswick, N.J",,engfre,Library of Congress ISBN,HQ1791 .M3713 1989,,,Women; Social conditions; Morocco; Interviews; Sex role,"Mernissi, Fatima",,"Lakeland, Mary Jo",,,,,,,,,,,,
1990,"Tuqan, Fadwa",A mountainous journey: an autobiography,978-1-55597-138-0,https://www.goodreads.com/book/show/734413.A_Mountainous_Journey,"Born in 1917 to the wealthy Palestinian Touqan family known for their accomplishments in many fields, Fadwa was restricted to remaining home at age 13. Her education was taken up by her brother who taught her poetry and encouraged her in becoming a distinguished poet. With the fall of Palestine in 1948, Fadwa's world opens up, allowing her to interact with male and female, colleagues, travel, and become politically aware. By 1967, her poetry had shifted from portraying women's hardships in the Arab world to the difficulties of life under Israeli occupation and she soon devoted herself to Palestinian causes. Her autobiography depicts her journey from a life of madated attire and seclusion to becoming a symbol of the Palestinian cause and ""one of the most distinguished figures of modern Arabic literature.""",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387754294l/734413.jpg,1990,2/24/2022 21:08,241,A mountainous journey,,Graywolf Press,"US - St. Paul, Minn",,eng,Library of Congress ISBN,PJ7864.U69 Z47513 1990,,,"Palestine; 20th century; Biography; Women authors, Arab; Ṭūqān, Fadwá",,,"Kenny, Olive E.; Nye, Naomi Shihab",,,,1948,Poetry,Israeli Occupation,Palestine Liberation,Autobiography,Palestine,Patriarchy,Gender Roles,
1991,"El Saadawi, Nawal",My travels around the world,978-0-413-17460-4,https://www.goodreads.com/book/show/2508411.My_Travels_Around_the_World,"A collage of the impressions and experiences of Nawal El Saadawi, a qualified doctor of medicine who was able to travel to various countries between the 1950s and the 1970s. Her observations are of particular interest, since at the time Arabian women were heavily restricted from travelling.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414256041l/2508411.jpg,1991,2/14/2022 3:38,214,,,Methuen,UK - London,,eng,K10plus ISBN,,,,,,,"Eber, Shirley",,,,Arab Women,Travel,Autobiography,,,Egypt,Patriarchy,,
